ID do Vendedor,Nome do Vendedor,Telefone do Vendedor,ID do Cliente,Nome do Cliente,Telefone do Cliente,E-mail do Cliente,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto
4,Jessica Medhurst,443-237-1645,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,32,Luxurious Fresh Mouse,540,6493
4,Jessica Medhurst,443-237-1645,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,33,Small Metal Shoes,187,997
4,Jessica Medhurst,443-237-1645,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,34,Incredible Plastic Sausages,848,3839
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,35,Incredible Soft Ball,757,1454
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,36,Oriental Frozen Computer,590,139
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,37,Elegant Granite Bacon,84,302
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,39,Generic Granite Hat,984,84134
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,40,Modern Wooden Hat,998,76790
4,Jessica Medhurst,443-237-1645,7,Della Tillman,1-334-817-7722,Dulce18@hotmail.com,41,Recycled Granite Gloves,620,014
4,Jessica Medhurst,443-237-1645,8,Eleanor Kirlin,881-346-6755,Ona_Witting@hotmail.com,42,Modern Soft Sausages,186,792
