ID do Vendedor,Nome do Vendedor,Telefone do Vendedor,ID do Cliente,Nome do Cliente,Telefone do Cliente,E-mail do Cliente,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto
5,Ralph Bartoletti,422-217-1130,8,Eleanor Kirlin,881-346-6755,Ona_Witting@hotmail.com,43,Practical Granite Fish,250,96790
5,Ralph Bartoletti,422-217-1130,8,Eleanor Kirlin,881-346-6755,Ona_Witting@hotmail.com,44,Bespoke Steel Bike,939,0438
5,Ralph Bartoletti,422-217-1130,8,Eleanor Kirlin,881-346-6755,Ona_Witting@hotmail.com,45,Elegant Steel Bacon,139,155
5,Ralph Bartoletti,422-217-1130,8,Eleanor Kirlin,881-346-6755,Ona_Witting@hotmail.com,46,Fantastic Wooden Keyboard,579,6386
5,Ralph Bartoletti,422-217-1130,8,Eleanor Kirlin,881-346-6755,Ona_Witting@hotmail.com,47,Electronic Frozen Tuna,247,4152
5,Ralph Bartoletti,422-217-1130,9,Jenna Kerluke,(280) 837-6504,Tara_Schinner@gmail.com,48,Incredible Steel Bike,159,8102
5,Ralph Bartoletti,422-217-1130,9,Jenna Kerluke,(280) 837-6504,Tara_Schinner@gmail.com,49,Handcrafted Wooden Chicken,548,75342
5,Ralph Bartoletti,422-217-1130,9,Jenna Kerluke,(280) 837-6504,Tara_Schinner@gmail.com,50,Incredible Soft Chicken,177,65672
5,Ralph Bartoletti,422-217-1130,9,Jenna Kerluke,(280) 837-6504,Tara_Schinner@gmail.com,51,Unbranded Frozen Chair,302,88180
5,Ralph Bartoletti,422-217-1130,10,Dr. Myra Thiel,693-367-1658,Heber.Goodwin@yahoo.com,52,Oriental Cotton Bike,21,461
5,Ralph Bartoletti,422-217-1130,10,Dr. Myra Thiel,693-367-1658,Heber.Goodwin@yahoo.com,53,Bespoke Steel Soap,23,31037
