ID do Vendedor,Nome do Vendedor,Telefone do Vendedor,ID do Cliente,Nome do Cliente,Telefone do Cliente,E-mail do Cliente,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto
2,Ana Ritchie,863-369-6954,3,Teresa O'Reilly,(614) 446-6587,Godfrey.Ward25@yahoo.com,12,Recycled Plastic Pizza,165,077
2,Ana Ritchie,863-369-6954,3,Teresa O'Reilly,(614) 446-6587,Godfrey.Ward25@yahoo.com,13,Licensed Wooden Pants,99,248
2,Ana Ritchie,863-369-6954,3,Teresa O'Reilly,(614) 446-6587,Godfrey.Ward25@yahoo.com,14,Recycled Steel Chips,845,97786
2,Ana Ritchie,863-369-6954,3,Teresa O'Reilly,(614) 446-6587,Godfrey.Ward25@yahoo.com,15,Bespoke Frozen Shirt,625,96406
2,Ana Ritchie,863-369-6954,3,Teresa O'Reilly,(614) 446-6587,Godfrey.Ward25@yahoo.com,16,Recycled Wooden Soap,492,607
2,Ana Ritchie,863-369-6954,4,Heather Jenkins,394-935-3342,William_McLaughlin4@yahoo.com,17,Elegant Metal Soap,396,4872
2,Ana Ritchie,863-369-6954,4,Heather Jenkins,394-935-3342,William_McLaughlin4@yahoo.com,18,Sleek Wooden Bacon,510,4518
2,Ana Ritchie,863-369-6954,4,Heather Jenkins,394-935-3342,William_McLaughlin4@yahoo.com,19,Fantastic Metal Keyboard,258,869
2,Ana Ritchie,863-369-6954,4,Heather Jenkins,394-935-3342,William_McLaughlin4@yahoo.com,20,Rustic Metal Fish,561,4797
2,Ana Ritchie,863-369-6954,4,Heather Jenkins,394-935-3342,William_McLaughlin4@yahoo.com,21,Awesome Fresh Tuna,275,782
